playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2552608","null","Stefon Diggs","WR","MIN","WR","MIN","-15.7167","102.71","null","104.8","117","51","null","null","2.355","103.9","13.1","2.6","102.71","102.71","3.5031","null",
"2543770","null","Charles Sims","RB","TB","RB","TB","-15.7333","115.71","null","101.5","118","37","null","null","3.785","126.3","-8.3","1.4","115.71","115.71","4.1528","null",
"2540020","null","Theo Riddick","RB","DET","RB","DET","-17.5633","113.88","null","124.6","119","38","null","null","4.15","124.5","-5.5","1.3","113.88","113.88","3.4085","null",
"2504595","null","Steve Smith","WR","BAL","WR","BAL","-18.0567","100.37","null","129.4","120","52","null","null","0.505","131.7","-11.7","1.3","100.37","100.37","3.5519","null",
"2346","null","Pierre Garcon","WR","WAS","WR","WAS","-18.0867","100.34","null","159.9","121","53","null","null","2.795","142.3","-21.3","1.4","100.34","100.34","3.7118","null",
"2539291","null","Markus Wheaton","WR","PIT","WR","PIT","-19.0367","99.39","null","123.3","122","54","null","null","3.79","129.8","-7.8","1.3","99.39","99.39","4.0107","null",
"497236","null","Jimmy Graham","TE","SEA","TE","SEA","-19.5167","97.98","null","140.5","123","12","null","null","0.47","113.9","9.1","2.5","97.98","97.98","4.6394","null",
"1062","null","Martellus Bennett","TE","NE","TE","NE","-19.8767","97.62","null","121.9","124","13","null","null","3.015","119.2","4.8","2","97.62","97.62","3.4938","null",
"238457","null","Zach Miller","TE","CHI","TE","CHI","-20.0967","97.4","null","146.6","125","14","null","null","5.715","132.1","-7.1","1.2","97.4","97.4","3.3756","null",
"2533436","null","Brock Osweiler","QB","HOU","QB","HOU","-20.4607","251.686","null","180.5","126","20","null","null","1.33","121.3","4.7","2.8","251.686","251.686","3.7394","null",
"2495328","null","Bilal Powell","RB","NYJ","RB","NYJ","-21.4733","109.97","null","115.2","127","39","null","null","1.725","120.2","6.8","1.4","109.97","109.97","3.3259","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","-21.7647","250.382","null","135.3","128","21","null","null","5.654","122.4","5.6","3.6","250.382","250.382","3.3256","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","-21.8167","250.33","null","158.6","129","22","null","null","14.027","170","-41","0","250.33","250.33","4.2692","null",
"927","null","Justin Forsett","RB","BAL","RB","BAL","-21.9533","109.49","null","104","130","40","null","null","6.665","117.3","12.7","2.4","109.49","109.49","3.4028","null",
"2555466","null","Tyler Boyd","WR","CIN","WR","CIN","-22.7267","95.7","null","151.3","131","55","null","null","0.22","142.9","-11.9","2","95.7","95.7","5.3118","null",
"71217","null","Kenny Britt","WR","LA","WR","LA","-22.9267","95.5","null","194","132","56","null","null","1.08","170","-38","0","95.5","95.5","3.5984","null",
"2539205","null","Terrance Williams","WR","DAL","WR","DAL","-22.9667","95.46","null","158.5","133","57","null","null","3.23","170","-37","0","95.46","95.46","3.5548","null",
"2555223","null","Devontae Booker","RB","DEN","RB","DEN","-24.4433","107","null","147.9","134","41","null","null","8.66","138.3","-4.3","1.4","107","107","4.8254","null",
"2552424","null","Phillip Dorsett","WR","IND","WR","IND","-25.0467","93.38","null","135.7","135","58","null","null","2.375","141.9","-6.9","1.2","93.38","93.38","4.9968","null",
"71265","null","Jared Cook","TE","GB","TE","GB","-25.6867","91.81","null","160.1","136","15","null","null","0.695","129.5","6.5","2.2","91.81","91.81","3.68","null",
"2543466","null","Eric Ebron","TE","DET","TE","DET","-25.9367","91.56","null","130.8","137","16","null","null","2.27","138.8","-1.8","1.2","91.56","91.56","4.664","null",
"2552397","null","Clive Walford","TE","OAK","TE","OAK","-26.8267","90.67","null","166.1","138","17","null","null","3.145","170","-32","0","90.67","90.67","5.8402","null",
"2540202","null","Kenny Stills","WR","MIA","WR","MIA","-27.3467","91.08","null","173.5","139","59","null","null","1.515","145.2","-6.2","0","91.08","91.08","5.2024","null",
"2530660","null","Kamar Aiken","WR","BAL","WR","BAL","-27.4967","90.93","null","123.9","140","60","null","null","3.92","137.1","2.9","1.2","90.93","90.93","4.4367","null",
