playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2543471","null","Kelvin Benjamin","WR","CAR","WR","CAR","19.2667","139.4","null","55.6","54","27","null","null","5.45","46.28","7.72","15.5","139.4","139.4","5.6742","null",
"2532838","null","Coby Fleener","TE","NO","TE","NO","18.3333","128.7","null","77.6","55","4","null","null","14.25","70.68","-15.68","5.3","128.7","128.7","3.2728","null",
"2506109","null","Ben Roethlisberger","QB","PIT","QB","PIT","17.2033","286.1","null","67.7","56","6","null","null","10.695","46.63","9.37","12.5","286.1","286.1","4.3991","null",
"2552469","null","Melvin Gordon","RB","SD","RB","SD","15.2333","147.5","null","64.5","57","20","null","null","2.7","68.88","-11.88","7.2","147.5","147.5","8.0623","null",
"2543500","null","Jordan Matthews","WR","PHI","WR","PHI","14.9667","135.1","null","64","58","28","null","null","2.7","81.46","-23.46","4.9","135.1","135.1","3.7272","null",
"71345","null","Rashad Jennings","RB","NYG","RB","NYG","12.8333","145.1","null","78.8","59","21","null","null","0.655","92.3","-33.3","4.1","145.1","145.1","4.1697","null",
"2530747","null","Doug Baldwin","WR","SEA","WR","SEA","12.6667","132.8","null","50.6","60","29","null","null","1.05","42.49","17.51","16","132.8","132.8","3.8002","null",
"2552635","null","Matt Jones","RB","WAS","RB","WAS","12.2333","144.5","null","69.3","61","22","null","null","0.255","64.48","-3.48","6.5","144.5","144.5","4.7808","null",
"497149","null","LeGarrette Blount","RB","NE","RB","NE","12.1233","144.39","null","100.8","62","23","null","null","3.24","94.89","-32.89","2.3","144.39","144.39","4.1844","null",
"71269","null","Michael Crabtree","WR","OAK","WR","OAK","11.8667","132","null","82.3","63","30","null","null","2.6","88.71","-25.71","3.5","132","132","3.7325","null",
"2552379","null","Jeremy Langford","RB","CHI","RB","CHI","11.8333","144.1","null","59.8","64","24","null","null","6.15","51.11","12.89","9.9","144.1","144.1","3.2941","null",
"2532841","null","Michael Floyd","WR","ARI","WR","ARI","11.3667","131.5","null","55.4","65","31","null","null","4.77","68.4","-3.4","6.9","131.5","131.5","5.138","null",
"2505996","null","Eli Manning","QB","NYG","QB","NYG","7.8933","276.79","null","80.6","66","7","null","null","3.555","74.77","-8.77","7.2","276.79","276.79","2.893","null",
