playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2506404","null","Frank Gore","RB","IND","RB","IND","11.2233","138.7","null","61.3","66","24","null","null","2.12","79.48","-13.48","5.6","138.7","138.7","2.4798","null",
"2543847","null","John Brown","WR","ARI","WR","ARI","11.2233","128.5","null","68.1","65","32","null","null","6.82","91.21","-26.21","5.4","128.5","128.5","3.2824","null",
"2552469","null","Melvin Gordon","RB","SD","RB","SD","9.1933","136.67","null","64.5","67","25","null","null","1.775","68.88","-1.88","7.2","136.67","136.67","7.5418","null",
"2540156","null","Giovani Bernard","RB","CIN","RB","CIN","9.0133","136.49","null","65.5","68","26","null","null","4.705","74.13","-6.13","3.9","136.49","136.49","4.1132","null",
"2495966","null","Delanie Walker","TE","TEN","TE","TEN","7.5067","118.16","null","68.8","69","4","null","null","5.39","60.14","8.86","8.4","118.16","118.16","3.158","null",
"2552374","null","Ameer Abdullah","RB","DET","RB","DET","5.8233","133.3","null","79.8","70","27","null","null","3.04","83.86","-13.86","3.5","133.3","133.3","3.436","null",
"2543477","null","Blake Bortles","QB","JAC","QB","JAC","5.5967","267.776","null","87.2","71","8","null","null","3.371","86.8","-15.8","7","267.776","267.776","4.0126","null",
"2550353","null","Allen Hurns","WR","JAC","WR","JAC","4.7633","122.04","null","74.4","72","33","null","null","1.985","88.69","-16.69","4.3","122.04","122.04","3.8294","null",
"71269","null","Michael Crabtree","WR","OAK","WR","OAK","4.0433","121.32","null","82.3","73","34","null","null","2.615","88.71","-15.71","3.5","121.32","121.32","3.4516","null",
"71345","null","Rashad Jennings","RB","NYG","RB","NYG","2.7933","130.27","null","78.8","74","28","null","null","1.345","92.3","-18.3","4.1","130.27","130.27","3.9167","null",
"4327","null","Danny Woodhead","RB","SD","RB","SD","2.7733","130.25","null","78.7","75","29","null","null","4.16","72.6","2.4","4.6","130.25","130.25","3.4276","null",
"2540258","null","Travis Kelce","TE","KC","TE","KC","2.7467","113.4","null","63.4","76","5","null","null","1.475","64.81","11.19","7","113.4","113.4","3.1367","null",
"2495240","null","Tyrod Taylor","QB","BUF","QB","BUF","2.4267","264.606","null","109.2","77","9","null","null","1.38","113.57","-36.57","2.7","264.606","264.606","3.5786","null",
"2505996","null","Eli Manning","QB","NYG","QB","NYG","2.0247","264.204","null","80.6","78","10","null","null","3.037","74.77","3.23","7.2","264.204","264.204","2.7667","null",
"2532884","null","Marvin Jones","WR","DET","WR","DET","1.5133","118.79","null","73.6","79","35","null","null","0.605","97.17","-18.17","4","118.79","118.79","4.7418","null",
"2532838","null","Coby Fleener","TE","NO","TE","NO","1.4867","112.14","null","77.6","80","6","null","null","2.23","70.68","9.32","5.3","112.14","112.14","3.2426","null",
