player,salary,team,pos,opp,ceil,floor,fpts
"Charles Johnson",4700,MIN,WR,NYG,,,5.13
"Brian Quick",4500,LAR,WR,ARI,,,3.68
"Bradley Marquez",4500,LAR,WR,ARI,,,1.61
"Jaron Brown",4700,ARI,WR,LAR,,,3.34
"Damian Williams",4500,LAR,QB,ARI,,,5.09
"John Brown",6200,ARI,WR,LAR,,,8.46
"Michael Floyd",6500,ARI,WR,LAR,,,9.22
"Larry Fitzgerald",7500,ARI,WR,LAR,,,16.25
"Victor Cruz",5700,NYG,WR,MIN,,,7.72
"Sterling Shepard",6900,NYG,WR,MIN,,,10.98
"Jeremy Maclin",6900,KCC,WR,PIT,,,12.68
"Chris Conley",4800,KCC,WR,PIT,,,4.9
"Brice Butler",4500,DAL,WR,SFO,,,4.5
"Rod Streater",4500,SFO,WR,DAL,,,2.14
"Jeremy Kerley",5200,SFO,WR,DAL,,,7.02
"Albert Wilson",4700,KCC,WR,PIT,,,2.98
"Tyreek Hill",4500,KCC,RB,PIT,,,3.42
"Darrius Heyward-Bey",4500,PIT,WR,KCC,,,3.66
"Odell Beckham",8700,NYG,WR,MIN,,,15.06
"Sammie Coates",5400,PIT,WR,KCC,,,7.8
"Markus Wheaton",5800,PIT,WR,KCC,,,6.42
"Antonio Brown",9400,PIT,WR,KCC,,,19.64
"DeSean Jackson",6900,WAS,WR,CLE,,,11.94
"Ricardo Louis",4500,CLE,WR,WAS,,,5.56
"Julio Jones",8500,ATL,WR,CAR,,,16.09
"Mohamed Sanu",6200,ATL,WR,CAR,,,8.95
"Philly Brown",4800,CAR,WR,ATL,,,6.06
"Devin Funchess",5300,CAR,WR,ATL,,,5.47
"Kelvin Benjamin",7700,CAR,WR,ATL,,,14.85
"Ted Ginn",5900,CAR,WR,ATL,,,6.78
"Justin Hardy",4900,ATL,WR,CAR,,,4.74
"Aldrick Robinson",4500,ATL,WR,CAR,,,2.72
"Andre Johnson",5100,TEN,WR,HOU,,,3.59
"DeAndre Hopkins",8600,HOU,WR,TEN,,,15.82
"Kendall Wright",4800,TEN,WR,HOU,,,6.86
"Tajae Sharpe",5600,TEN,WR,HOU,,,8.88
"Rishard Matthews",5000,TEN,WR,HOU,,,7.25
"Rashad Greene",4600,JAC,WR,IND,,,1.71
"Marqise Lee",4500,JAC,WR,IND,,,6.86
"A.J. Green",8100,CIN,WR,MIA,,,16.66
"Brandon LaFell",5500,CIN,WR,MIA,,,7.4
"Kenny Stills",5100,MIA,WR,CIN,,,7.62
"DeVante Parker",6300,MIA,WR,CIN,,,11.7
"Jarvis Landry",7200,MIA,WR,CIN,,,15.49
"Tyler Boyd",5400,CIN,WR,MIA,,,7.06
"James Wright",4500,CIN,WR,MIA,,,1.98
"Allen Robinson",8300,JAC,WR,IND,,,15.52
"Allen Hurns",6100,JAC,WR,IND,,,9.72
"Quan Bray",4500,IND,WR,JAC,,,2.24
"Phillip Dorsett",6400,IND,WR,JAC,,,10.43
"T.Y. Hilton",7600,IND,WR,JAC,,,16.43
"Will Fuller",6700,HOU,WR,TEN,,,12.84
"Jaelen Strong",4700,HOU,WR,TEN,,,2.91
"Greg Salas",4500,BUF,WR,NEP,,,3.72
"Marquise Goodwin",5300,BUF,WR,NEP,,,6.56
"Robert Woods",5400,BUF,WR,NEP,,,6.69
"Sammy Watkins",6700,BUF,WR,NEP,,,10.42
"Deonte Thompson",4500,CHI,WR,DET,,,2.07
"Julian Edelman",7200,NEP,WR,BUF,,,11.22
"Danny Amendola",5400,NEP,WR,BUF,,,6.08
"Terrelle Pryor",7000,CLE,WR,WAS,,,15.49
"Andrew Hawkins",4500,CLE,WR,WAS,,,6.08
"Rashard Higgins",4500,CLE,WR,WAS,,,2.98
"Malcolm Mitchell",4500,NEP,WR,BUF,,,3.83
"Chris Hogan",5200,NEP,WR,BUF,,,6.89
"Eddie Royal",5500,CHI,WR,DET,,,5.74
"Kevin White",5500,CHI,WR,DET,,,8.08
"Paul Richardson",4500,SEA,WR,NYJ,,,3.86
"Brandon Marshall",7500,NYJ,WR,SEA,,,12.5
"Tyler Lockett",6200,SEA,WR,NYJ,,,7.75
"Jermaine Kearse",4900,SEA,WR,NYJ,,,6.4
"Doug Baldwin",7400,SEA,WR,NYJ,,,14.34
"Eric Decker",6800,NYJ,WR,SEA,,,12.02
"Quincy Enunwa",5600,NYJ,WR,SEA,,,9.08
"Andre Roberts",4500,DET,WR,CHI,,,1.72
"Alshon Jeffery",8200,CHI,WR,DET,,,12.63
"Anquan Boldin",6500,DET,WR,CHI,,,8.14
"Marvin Jones",7600,DET,WR,CHI,,,15.53
"Golden Tate",6200,DET,WR,CHI,,,8.67
