Rk	Player	Team	Pos	Bye	Age	Pass Yds	TD	Int	Rush Yds	TD	Rec	Yds	TD	Projected Points	ADP
280	Marcel Reece	OAK	FB	10	31	0	0	0	53	0	22	188	1	30.1	274
281	Kenny Bell	TB	WR	6	24	0	0	0	0	0	17	224	1	28.4	275
282	Paxton Lynch	DEN	QB	11	22	1,523	9	9	83	0	0	0	0	87.2	276
283	Keith Marshall	WAS	RB	9	22	0	0	0	149	1	4	33	0	22.2	277
284	Colin Kaepernick	SF	QB	8	28	1,151	7	6	162	1	0	0	0	84.2	278
285	Brice Butler	DAL	WR	7	26	0	0	0	1	0	13	198	1	25.9	279
286	Jordan Norwood	DEN	WR	11	29	0	0	0	0	0	17	189	1	24.9	280
287	Jerome Simpson	SF	WR	 	30	0	0	0	0	0	15	195	1	25.5	281
288	Matt Asiata	MIN	RB	6	29	0	0	0	134	1	14	106	0	28	282
289	Jeremy Kerley	SF	WR	8	27	0	0	0	0	0	17	197	1	25.7	283
290	Josh Huff	PHI	WR	4	24	0	0	0	0	0	18	214	1	25.4	284
291	Shaun Hill	MIN	QB	6	36	1,887	11	9	31	0	0	0	0	104.6	285
292	DeAndre Smelter	SF	WR	8	24	0	0	0	0	0	15	198	1	25.8	286
293	Bruce Ellington	SF	WR	8	25	0	0	0	2	0	14	140	1	18.2	287
294	Rashard Higgins	CLE	WR	13	21	0	0	0	0	0	14	184	1	22.4	288
295	Devin Fuller	ATL	WR	11	22	0	0	0	0	0	11	141	1	20.1	289
296	Harry Douglas	TEN	WR	13	30	0	0	0	0	0	15	196	1	23.6	290
297	Case Keenum	LA	QB	8	28	1,421	7	7	41	0	0	0	0	74.9	291
298	Trevor Siemian	DEN	QB	11	24	1,533	9	9	54	0	0	0	0	84.7	292
299	Devin Smith	NYJ	WR	11	24	0	0	0	0	0	12	175	1	21.5	293
300	Taylor Gabriel	CLE	WR	13	25	0	0	0	0	0	11	155	1	21.5	294
